Total Words Loaded,10000
Outer Iterations,15
Cross Validation:,10
Features Used: ,ngrams,word,texttype


Artifact
,precision,recall,f1-score,support
Artifact,0.70427220726403617,0.74223042374891102,0.72090165014361829,77.073333333333323
None,0.72772467772044791,0.68774434131785844,0.70504993649454728,76.926666666666677

Accuracy,0.71398268398268394


Person
,precision,recall,f1-score,support
None,0.79064533267879888,0.7912902034759246,0.79043973198804529,252.09333333333331
Person,0.79208994481130657,0.79106934771552828,0.79103640941153086,252.90666666666669

Accuracy,0.79098349834983506


Location
,precision,recall,f1-score,support
Location,0.87240636827868412,0.86902999792301228,0.87048702049768656,311.99333333333328
None,0.87083607809380048,0.87425111687636081,0.8723194689589211,315.00666666666672

Accuracy,0.87151515151515146


Facility
,precision,recall,f1-score,support
Facility,0.74946764042632485,0.75935851698730139,0.75275886576807938,82.806666666666672
None,0.75791757923402414,0.74741671416555566,0.75103385646741916,83.193333333333328

Accuracy,0.75265060240963855


Organization
,precision,recall,f1-score,support
None,0.82022081218617016,0.8208845005246882,0.81941595910810094,102.55333333333331
Organization,0.8193350577495313,0.8183237330509695,0.81767575206280485,101.44666666666669

Accuracy,0.81898692810457507


