Total Words Loaded,
Outer Iterations,1
Cross Validation:,10
Features Used: ,word,all_liwc


Artifact
,precision,recall,f1-score,support
Artifact,0.64578359322730639,0.80047582955816732,0.7143403306849907,407.60000000000002
None,0.73684904981202348,0.56041167319368257,0.63603304774522962,406.39999999999998

Accuracy,0.68009828009828011


Person
,precision,recall,f1-score,support
None,0.80424680160164674,0.68578269154491234,0.74018028765482524,1489.3
Person,0.72521686377639261,0.83235290902301562,0.77500929212613867,1483.7

Accuracy,0.75886310124453416


Location
,precision,recall,f1-score,support
Location,0.87777888469523524,0.79487383634240094,0.83423149447791067,1700.5
None,0.81354017273485313,0.89001827005120937,0.8500247206743532,1710.5

Accuracy,0.84253884491351505


Facility
,precision,recall,f1-score,support
Facility,0.69520359617735683,0.83589594328740824,0.75880222745981296,462.89999999999998
None,0.79112120247747264,0.62909197932804239,0.70046686752065579,457.10000000000002

Accuracy,0.73293478260869571


Organization
,precision,recall,f1-score,support
None,0.83392491194517293,0.6474724615109968,0.72866649492422642,534.29999999999995
Organization,0.7093903696730357,0.86932636945303265,0.7810973555637909,528.70000000000005

Accuracy,0.757761053621825


