Total Words Loaded,10000
Outer Iterations,15
Cross Validation:,10
Features Used: ,all_liwc


Artifact
,precision,recall,f1-score,support
Artifact,0.57371365618358661,0.8143301330826862,0.67117768342833017,76.859999999999999
None,0.68472436659097036,0.39694246720251691,0.49830498474175655,77.140000000000001

Accuracy,0.60411255411255405


Person
,precision,recall,f1-score,support
None,0.72276317624709552,0.579569515653102,0.62418828481615585,251.07333333333332
Person,0.66027812766495442,0.75328549771632258,0.6820281298618881,253.92666666666668

Accuracy,0.66402640264026402


Location
,precision,recall,f1-score,support
Location,0.65792531677468802,0.86467921833411776,0.7467123710669199,313.30666666666667
None,0.80486830934779308,0.55037177405681192,0.65226458762822281,313.69333333333333

Accuracy,0.70732589048378525


Facility
,precision,recall,f1-score,support
Facility,0.6205159819323619,0.85571674207718751,0.71824698925250607,83.453333333333347
None,0.76597277658428975,0.46986881414675263,0.57939280809361737,82.546666666666653

Accuracy,0.66397590361445791


Organization
,precision,recall,f1-score,support
None,0.82639682879643916,0.5223600271965515,0.63839669332472926,102.53999999999999
Organization,0.64788745620527921,0.88801569823953264,0.74836018304123053,101.46000000000001

Accuracy,0.70388888888888901


